filename,title,release_year,genres
346.jpg,Seven Samurai,1954,"[28, 18]"
567.jpg,Rear Window,1954,"[53, 9648]"
173.jpg,"20,000 Leagues Under the Sea",1954,"[12, 878, 10751]"
43332.jpg,Demetrius and the Gladiators,1954,"[12, 36, 18]"
10178.jpg,The Caine Mutiny,1954,"[18, 10752]"
24973.jpg,The Egyptian,1954,"[36, 18]"
3111.jpg,A Star Is Born,1954,"[18, 10402, 10749]"
6620.jpg,Sabrina,1954,"[35, 10749, 18]"
51044.jpg,Carmen Jones,1954,"[18, 10749]"
21468.jpg,There's No Business Like Show Business,1954,"[10402, 35]"
16563.jpg,Seven Brides for Seven Brothers,1954,"[35, 18, 37]"
57575.jpg,The Last Time I Saw Paris,1954,"[18, 10749]"
43196.jpg,Deep in My Heart,1954,"[10402, 35]"
1936.jpg,River of No Return,1954,"[12, 37]"
118517.jpg,Valley of the Kings,1954,[12]
65212.jpg,The Silver Chalice,1954,"[18, 10749, 36]"
521.jpg,Dial M for Murder,1954,"[53, 80]"
52843.jpg,The French Line,1954,"[10749, 35, 10402]"
256758.jpg,Flame and the Flesh,1954,[18]
1678.jpg,Godzilla,1954,"[53, 27, 878]"
80241.jpg,Green Fire,1954,"[12, 18, 10749]"
114499.jpg,The Vanishing Prairie,1954,[99]
154093.jpg,Riding Shotgun,1954,[37]
62753.jpg,Beachhead,1954,[10752]
156566.jpg,Red Garters,1954,[37]
10973.jpg,Creature from the Black Lagoon,1954,"[12, 27, 878]"
13368.jpg,White Christmas,1954,"[35, 10402, 10749]"
654.jpg,On the Waterfront,1954,"[80, 18, 10749]"
199436.jpg,Flesh and the Woman,1954,[18]
619036.jpg,Banat Hawaa,1954,"[35, 10749]"
20174.jpg,The Fast and the Furious,1954,"[28, 80, 18]"
29057.jpg,Monster from the Ocean Floor,1954,"[878, 27]"
718466.jpg,For Who's Your Passion,1954,"[10402, 10749, 18]"
65994.jpg,Prince Valiant,1954,"[12, 28, 10749]"
325453.jpg,The Vicious Breed,1954,"[18, 80]"
1511222.jpg,Ageless iraq,1954,[99]
11224.jpg,Cinderella,1950,"[10751, 14, 16, 10749]"
43388.jpg,King Solomon's Mines,1950,"[12, 28, 10749]"
705.jpg,All About Eve,1950,[18]
25209.jpg,Annie Get Your Gun,1950,"[10402, 35, 10749, 37]"
18712.jpg,Sands of Iwo Jima,1950,"[10752, 18]"
25392.jpg,Destination Moon,1950,"[878, 12, 18]"
599.jpg,Sunset Boulevard,1950,[18]
42767.jpg,Three Little Words,1950,"[10402, 35, 10749]"
6646.jpg,Treasure Island,1950,"[12, 10751]"
37292.jpg,Broken Arrow,1950,"[37, 18, 10749]"
43390.jpg,Summer Stock,1950,"[10402, 10749]"
14551.jpg,Winchester '73,1950,[37]
110669.jpg,Wabash Avenue,1950,[10402]
1978.jpg,Stage Fright,1950,[53]
238616.jpg,The Big Hangover,1950,[35]
34623.jpg,Young Man with a Horn,1950,"[18, 10402, 10749]"
493856.jpg,The Dangerous Stranger,1950,"[18, 99]"
548.jpg,Rashomon,1950,"[80, 18, 9648]"
348900.jpg,Sargam,1950,"[10751, 18]"
84132.jpg,Perhaps a Gentleman,1950,"[18, 35]"
78019.jpg,Motorkavaljerer,1950,"[18, 35, 12]"
1506936.jpg,Tears of joy,1950,[]
1506593.jpg,Rebecca,1950,[10749]
1504655.jpg,The Flies : Enemy Of The Human,1950,"[99, 18]"
1498145.jpg,พันท้ายนรสิงห์,1950,[]
1487454.jpg,Time Flies,1950,[99]
1480884.jpg,Let me sing,1950,[]
1480669.jpg,Yosemite: Jewel of the Sierra,1950,[]
1479031.jpg,المظلومة,1950,[]
1474776.jpg,Tokyo Gate,1950,[80]
1463598.jpg,The Sea Monster on Land,1950,[878]
1461689.jpg,Çete,1950,"[18, 12, 36, 10752]"
1460306.jpg,Il principe ribelle,1950,"[18, 36]"
1449626.jpg,From Hamburg to Stralsund,1950,[99]
1443080.jpg,Bir Fırtına Gecesi,1950,"[18, 10402, 53]"
1425181.jpg,Sedap Malam,1950,[18]
1411514.jpg,A Female Doctor's Examination Room,1950,[]
1399799.jpg,First Wings,1950,[99]
1399189.jpg,La mujer de nadie,1950,[]
32430.jpg,The Bells of St. Mary's,1945,"[18, 35]"
28580.jpg,The Lost Weekend,1945,[18]
43610.jpg,The Valley of Decision,1945,"[18, 10749]"
17889.jpg,Anchors Aweigh,1945,"[10402, 35, 10749]"
4174.jpg,Spellbound,1945,"[53, 9648, 10749]"
17641.jpg,National Velvet,1945,"[18, 10751]"
3309.jpg,Mildred Pierce,1945,"[80, 18]"
43176.jpg,Ziegfeld Follies,1945,"[10402, 35]"
26654.jpg,Conflict,1945,[53]
22584.jpg,To Have and Have Not,1945,"[12, 10749, 10752]"
13669.jpg,Christmas in Connecticut,1945,"[35, 10749]"
17058.jpg,Scarlet Street,1945,"[18, 80]"
292503.jpg,The Sailor Takes a Wife,1945,"[35, 10749]"
42295.jpg,The House on 92nd Street,1945,[53]
35849.jpg,Hangover Square,1945,[53]
43498.jpg,Yolanda and the Thief,1945,"[10402, 10749, 14]"
26243.jpg,Fallen Angel,1945,"[80, 9648, 18, 10749]"
36635.jpg,Danger Signal,1945,"[80, 18, 10749]"
4886.jpg,And Then There Were None,1945,"[80, 18, 9648]"
307.jpg,"Rome, Open City",1945,"[18, 10752]"
587240.jpg,This Was My Father's Crime,1945,[18]
2457.jpg,Children of Paradise,1945,"[18, 10749]"
1511284.jpg,Begum,1945,[18]
1511276.jpg,Amrapali,1945,[]
1507154.jpg,The great artist,1945,[]
1506144.jpg,بنات الريف,1945,[]
1490067.jpg,Our Inheritance,1945,[99]
1489508.jpg,Twilight Hour,1945,"[80, 18]"
1487452.jpg,Chilean National Song,1945,[99]
1480804.jpg,The beginning of the month,1945,[]
1464344.jpg,Aktion Storch,1945,[99]
1463532.jpg,Fuel Tank Selection,1945,[]
1452017.jpg,Le Cinématographe Lumière,1945,[99]
1439482.jpg,March of Time: Ireland,1945,[]
1438273.jpg,India Strikes,1945,"[99, 10752]"
1407970.jpg,The Little Toy Soldier,1945,"[16, 10751]"
1404866.jpg,Why We Fight,1945,[99]
1383596.jpg,Beauty and charm,1945,"[18, 10749, 10402]"
1382822.jpg,Amirat Al-Ahlam,1945,"[18, 10749]"
3089.jpg,Red River,1948,[37]
41609.jpg,The Three Musketeers,1948,"[12, 10749]"
3073.jpg,Bud Abbott and Lou Costello Meet Frankenstein,1948,"[27, 35]"
34233.jpg,Adventures of Don Juan,1948,"[12, 10749, 28]"
3090.jpg,The Treasure of the Sierra Madre,1948,"[12, 18, 37]"
43449.jpg,Romance on the High Seas,1948,"[35, 10749]"
37347.jpg,Fort Apache,1948,[37]
